payment_creation_day,txn_reference,bin,funding_source,issuer_country_code,shopper_interaction,mcc,cvc_supplied,avs_supplied,transaction_amount,transaction_currency,interchange amount,interchang_currency
01/09/2021,3326304777555333,414740,CREDIT,US,Ecommerce,5310,TRUE,Yes,9.99,USD,0.33976,USD
01/09/2021,3326305147926393,476895,DEBIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.314835,USD
01/09/2021,3326305264186706,414718,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
02/09/2021,3326305664469827,400278,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
02/09/2021,3326305969977557,491523,CREDIT,US,ContAuth,5310,,Yes,9.99,USD,0.33976,USD
03/09/2021,3326306325675505,405448,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
06/09/2021,3326308904587663,408043,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
06/09/2021,3326308985621563,455627,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
09/09/2021,3326311491981976,463935,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
09/09/2021,3326311547222557,440066,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
09/09/2021,3326311895789264,405448,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
10/09/2021,3326312546171704,464263,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
11/09/2021,3326313529124199,411398,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
11/09/2021,3326313884787671,481869,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
12/09/2021,3326314594488154,476996,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
12/09/2021,3326314753407557,464245,CREDIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.36973,USD
12/09/2021,3326314753859302,405448,CREDIT,US,ContAuth,5310,TRUE,Yes,9.99,USD,0.33976,USD
13/09/2021,3326314959892909,412186,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
13/09/2021,3.32632E+15,412186,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
15/09/2021,3326316613230749,410871,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
15/09/2021,3326317027527506,412186,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
15/09/2021,3326317214631582,405413,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
16/09/2021,3326317553783572,408950,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
17/09/2021,3326318871324396,414720,CREDIT,US,Ecommerce,5311,TRUE,No,9.99,USD,0.36973,USD
19/09/2021,3326320115268686,465188,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
19/09/2021,3.32632E+15,440066,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
19/09/2021,3326320328025816,407123,CREDIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.36973,USD
21/09/2021,3.32632E+15,465956,DEBIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.314835,USD
22/09/2021,3326322728568619,414720,CREDIT,US,Ecommerce,5311,,No,9.99,USD,0.36973,USD
28/09/2021,3.32633E+15,414709,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
01/09/2021,3336304505409611,400688,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
01/09/2021,3336304744535457,411398,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
01/09/2021,3.33631E+15,440066,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
01/09/2021,3336305089519485,410039,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
01/09/2021,3336305111868207,473336,DEBIT,US,Ecommerce,5310,TRUE,Yes,9.99,USD,0.314835,USD
02/09/2021,3336305386442738,440393,PREPAID,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.374825,USD
03/09/2021,3336306261537469,405413,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
05/09/2021,3336308280805646,411398,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
09/09/2021,3.33631E+15,405448,CREDIT,US,Ecommerce,5311,FALSE,No,9.99,USD,0.36973,USD
12/09/2021,3336314151349235,440066,CREDIT,US,Ecommerce,5310,TRUE,No,9.99,USD,0.36973,USD
13/09/2021,3336315432500959,414709,CREDIT,US,Ecommerce,5310,TRUE,No,9.99,USD,0.36973,USD
14/09/2021,3336315990332936,451723,CREDIT,US,ContAuth,5310,,No,9.99,USD,0.36973,USD
14/09/2021,3336316233369198,461264,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
14/09/2021,3336316274221423,414776,CREDIT,US,Ecommerce,5310,TRUE,No,9.99,USD,0.36973,USD
14/09/2021,3336316495912784,406827,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
15/09/2021,3336317058218015,407123,CREDIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.36973,USD
17/09/2021,3336318351131988,412186,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
17/09/2021,3336318894398854,411398,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
18/09/2021,3336319980429595,405413,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
19/09/2021,3336320780875664,464050,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
20/09/2021,3336321252393459,411398,CREDIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.36973,USD
20/09/2021,3336321584360457,407123,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
23/09/2021,3336323599027477,464251,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
27/09/2021,3336327163255521,412842,DEBIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.43981,USD
28/09/2021,3336328132252078,405448,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
28/09/2021,3336328428226869,440066,CREDIT,US,Ecommerce,5310,TRUE,No,9.99,USD,0.36973,USD
29/09/2021,3336328805909889,414720,CREDIT,US,Ecommerce,5311,TRUE,No,9.99,USD,0.36973,USD
29/09/2021,3336329498953358,461264,CREDIT,US,ContAuth,5310,,Yes,9.99,USD,0.33976,USD
30/09/2021,3336329592462066,476410,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
30/09/2021,3336330159531657,447930,PREPAID,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.374825,USD
04/09/2021,3346307225205472,476995,CREDIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.36973,USD
04/09/2021,3.34631E+15,405413,CREDIT,US,Ecommerce,5311,FALSE,No,9.99,USD,0.36973,USD
04/09/2021,3346307740339285,411398,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
05/09/2021,3346307944604021,410039,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
06/09/2021,3346309444299518,412186,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
09/09/2021,3346311789880886,411398,CREDIT,US,ContAuth,5310,,No,9.99,USD,0.36973,USD
12/09/2021,3346314127578543,492003,CREDIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.36973,USD
12/09/2021,3346314259516402,481869,CREDIT,US,ContAuth,5310,FALSE,Yes,9.99,USD,0.33976,USD
12/09/2021,3346314597708372,412186,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
14/09/2021,3346315923672711,410039,CREDIT,US,Ecommerce,5310,TRUE,No,9.99,USD,0.36973,USD
20/09/2021,3346321188522153,400574,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
20/09/2021,3346321628790626,476895,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
21/09/2021,3346322252251851,405448,CREDIT,US,Ecommerce,5311,FALSE,No,9.99,USD,0.36973,USD
23/09/2021,3346323586308359,412186,CREDIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.36973,USD
25/09/2021,3346325320097651,481869,CREDIT,US,ContAuth,5311,FALSE,Yes,9.99,USD,0.33976,USD
25/09/2021,3346325786506708,464251,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
25/09/2021,3346325913797071,410039,CREDIT,US,Ecommerce,5311,TRUE,No,9.99,USD,0.36973,USD
28/09/2021,3346327864590786,410039,CREDIT,US,ContAuth,5310,FALSE,No,9.99,USD,0.36973,USD
29/09/2021,3.34633E+15,431559,DEBIT,US,ContAuth,5311,FALSE,No,9.99,USD,0.43981,USD
